data,hora,taxa
2023/02/14,04:52:21,13.643091768056381
2023/02/14,04:52:23,13.229918842959078
2023/02/14,04:52:25,13.798612290636566
2023/02/14,04:52:27,13.715085833114989
2023/02/14,04:52:29,13.67902790674024
2023/02/14,04:52:31,13.748139304975068
2023/02/14,04:52:33,14.07605850323404
2023/02/14,04:52:36,14.021488171721693
2023/02/14,04:52:38,13.427409736165142
2023/02/14,04:52:40,13.726628487006447
2023/02/14,05:04:53,13.687311232982296
2023/02/14,05:04:55,13.53613886833148
2023/02/14,05:04:57,13.569902917706946
2023/02/14,05:05:00,14.01297429326023
2023/02/14,05:05:02,13.639584906551358
2023/02/14,05:05:04,14.073444789856964
2023/02/14,05:05:07,14.101887714912442
2023/02/14,05:05:08,13.444849859685903
2023/02/14,05:05:10,13.925015696960177
2023/02/14,05:05:12,13.74644700105901
2023/02/14,05:08:54,13.938465367666744
2023/02/14,05:08:56,13.191901102226606
2023/02/14,05:08:58,13.854373707233373
2023/02/14,05:09:01,13.799821551728282
2023/02/14,05:09:03,13.985844242092092
2023/02/14,05:09:05,13.75450132922012
2023/02/14,05:09:07,13.230044253921376
2023/02/14,05:09:10,13.587322272162675
2023/02/14,05:09:12,13.25923890574105
2023/02/14,05:09:14,13.291513517149586
